Year,Mean,SD,CV,Qlower,Median,Qupper,Model,Distribution,Link,Q2.5,Q97.5
2013_AW,0.731047640717433,0.13024012964808246,0.17815546127782841,0.5227768358496006,0.7312458218000149,1.035608889127492,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.5227768358496006,1.035608889127492
2013_SS,0.90870078528239,0.16595352731595645,0.1826272520105552,0.6396366719087139,0.9096743081996906,1.2983269351902003,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.6396366719087139,1.2983269351902003
2014_AW,0.5856416915802469,0.10402105119772241,0.1776189309832786,0.41750587800964695,0.5865091576872571,0.837021254174799,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.41750587800964695,0.837021254174799
2014_SS,0.7434527345645998,0.1337475069278139,0.17990048419976906,0.5280957983884238,0.7452330545843426,1.0616736524710786,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.5280957983884238,1.0616736524710786
2015_AW,0.4462118031787569,0.07857912717339927,0.17610275347628956,0.31837539514121493,0.4483314048282127,0.6334055523194667,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.31837539514121493,0.6334055523194667
2015_SS,0.6452525388583502,0.11472832671690482,0.17780375869561776,0.4580492407601516,0.6474785604939256,0.9192704988800217,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.4580492407601516,0.9192704988800217
2016_AW,0.48931130151246155,0.08800986968028342,0.17986478016805427,0.34272516030754385,0.49001155992301976,0.6945120314362883,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.34272516030754385,0.6945120314362883
2016_SS,0.7025946263312528,0.12697399524436564,0.180721557617637,0.504422210378843,0.7040362970931089,1.0034943911326013,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.504422210378843,1.0034943911326013
2017_AW,0.45529879731724493,0.08275622509467495,0.1817624504661534,0.3214428816678292,0.4555489486176679,0.6490693004791515,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.3214428816678292,0.6490693004791515
2017_SS,0.8311253705196027,0.1492528581997552,0.17957923496721723,0.6013091724227208,0.8283790975450452,1.1934151543146598,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.6013091724227208,1.1934151543146598
2018_AW,1.0769431824361355,0.21015854441760332,0.19514357660188453,0.7488402584617025,1.072435748149317,1.5848043478469476,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.7488402584617025,1.5848043478469476
2018_SS,1.351259933772549,0.24636703328591028,0.18232393866521615,0.96133860179056,1.3486884510102983,1.9364411204686554,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.96133860179056,1.9364411204686554
2019_AW,1.1260188083838794,0.19997185284030475,0.1775919295054358,0.7935584616148186,1.1321669435885353,1.5906094228409795,Nlegal ~ log(pots) + period + (1 | month) + (1 | vessel) + area + (1 | period:area),negbinomial,log,0.7935584616148186,1.5906094228409795
